Т	9111	9	0.025	0	9	6.25	2000	2000	2000	0	9	5.00	1.000	0.093	8.00	8	4.076	64	80
Б	9111	9	0.050	0	9	6.25	2000	2000	2000	0	9	5.00	1.000	0.156	8.00	8	-0.354	64	80
М0	9111	9	0.118	0	9	6.25	2000	2000	2000	0	9	5.00	1.000	0.026	8.00	8	-0.688	64	80
К	9112	6	0.141	0	9	12.50	2000	2000	2000	0	9	16.67	1.000	0.400	8.00	8	2.224	32	24
СП	9111	9	1.000	22	22	3.03	971	967	969	33	33	1.49	0.615	0.299	8.00	8	-0.015	64	80
Т	9112	6	0.127	0	9	12.50	2000	2000	2000	0	9	16.67	1.000	0.138	8.00	8	4.571	32	24
Б	9112	6	0.085	0	9	12.50	2000	2000	2000	0	9	16.67	1.000	0.048	7.95	6	-0.153	32	24
М0	9112	6	0.099	0	9	12.50	2000	2000	2000	2	10	16.67	1.000	0.017	8.00	8	-0.157	32	24
СП	9112	6	1.000	62	62	1.95	392	313	310	59	59	2.80	1.077	0.283	8.00	8	-0.018	32	24
К	9112	9	0.180	0	9	4.55	2000	2000	2000	0	9	3.85	1.000	0.300	8.00	8	4.461	88	104
Т	9112	9	0.043	0	9	4.55	2000	2000	2000	0	9	3.85	1.000	0.272	7.90	4	2.424	88	104
Б	9112	9	0.031	0	9	4.55	2000	2000	2000	0	9	3.85	1.000	0.017	8.00	8	-0.200	88	104
М0	9112	9	0.143	0	9	4.55	2000	2000	2000	0	9	3.85	1.000	0.083	8.00	8	1.222	88	104
СП	9112	9	1.000	23	23	2.13	779	935	938	22	22	1.69	0.942	0.577	8.00	8	-0.016	88	104
